state,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,NumChild,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975
Alabama,194,194,194,194,194,194,194,194,194,194,3,194,194,194,194,194,194,194,194,194,194,155,155,147,147,147,147,147,147,147,147,148,148,148,148,148,135,135
Alaska,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,3,1284,1242,1213,1174,1142,1142,1113,1083,1055,1025,990,940,899,823,823,823,800,775,751,682,634,514,450,450,400,400,400
American Samoa,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,418,418,418,418,418,418,418,418,418,418,3,418,418,418,418,418,418,418,418,418,418,401,353,353,353,353,353,282,282,282,282,244,244,239,212,198,198,282
Arkansas,247,247,247,247,247,247,247,247,247,247,3,247,247,247,247,247,247,246,246,247,247,247,247,247,247,238,224,224,191,164,164,142,188,188,188,189,255,255
California,901,901,901,901,901,901,901,901,901,901,3,768,746,746,673,673,707,723,723,723,753,824,824,824,753,753,734,698,660,625,601,601,563,487,423,423,379,349
Canal Zone,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,510,510,510,510,510,510,510,510,510,510,3,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,470,470,379,351,327,307,290,276,264
Connecticut,639,639,639,639,639,639,639,639,639,639,3,639,639,639,639,639,639,639,683,683,683,683,652,652,627,604,593,572,549,532,501,500,553,517,492,446,405,403
Delaware,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,3,1044,1044,1028,975,946,946,407,407,407,407,407,407,402,402,374,363,349,336,312,312,812,312,287,287,287,287,287
District of Columbia,463,463,463,463,463,463,463,463,463,463,3,463,463,463,463,463,507,513,523,513,499,499,499,499,480,444,427,399,399,366,366,765,349,349,314,314,314,297
